City,Lat,Lng,Max Temp,Humidity,Clouds,Wind,Country,Date
russkaya polyana,49.42,31.92,22.35,92,0,15.5,UA,1607392181
iqaluit,63.75,-68.51,15.8,72,75,11.41,CA,1607392182
leona vicario,20.97,-87.19,69.8,88,40,5.82,MX,1607392182
cabo san lucas,22.89,-109.91,69.8,56,40,3.36,MX,1607391998
pevek,69.7,170.31,7.88,90,8,4.27,RU,1607392174
saint anthony,45.02,-93.22,32.0,95,90,3.74,US,1607392182
hirara,24.8,125.28,73.4,94,75,19.46,JP,1607392182
baoro,5.67,15.97,69.94,33,94,3.42,CF,1607392182
onega,63.91,38.14,27.43,93,100,10.42,RU,1607392182
maua,-23.67,-46.46,69.8,88,90,3.36,BR,1607392172
rikitea,-23.12,-134.97,75.6,81,6,13.91,PF,1607392182
yucca valley,34.11,-116.43,55.99,22,96,1.99,US,1607392183
churapcha,62.0,132.43,-18.22,88,93,3.36,RU,1607392183
dingle,11.0,122.67,84.78,78,66,6.71,PH,1607392183
sri aman,1.24,111.46,82.4,83,20,3.36,MY,1607392183
esperance,-33.87,121.9,73.4,43,0,11.41,AU,1607392183
atuona,-9.8,-139.03,78.75,73,1,16.13,PF,1607392183
pedasi,7.53,-80.03,80.71,75,100,15.95,PA,1607392183
tiksi,71.69,128.87,-20.47,88,95,0.63,RU,1607392184
olinda,-8.01,-34.86,78.8,69,40,8.05,BR,1607392184
talara,-4.58,-81.27,68.29,85,82,15.26,PE,1607392184
luebo,-5.35,21.42,69.33,97,100,1.36,CD,1607392184
danshui,22.8,114.47,69.01,64,14,9.66,CN,1607392184
saint george,37.1,-113.58,55.4,16,1,8.05,US,1607392104
guerrero negro,27.98,-114.06,62.46,37,0,7.56,MX,1607392184
hilo,19.73,-155.09,80.6,57,90,12.75,US,1607392139
thompson,55.74,-97.86,28.4,100,90,10.29,CA,1607392184
vardo,70.37,31.11,30.83,92,14,5.61,NO,1607392184
severo-kurilsk,50.68,156.12,27.27,89,69,9.04,RU,1607392176
cidreira,-30.18,-50.21,69.8,88,62,15.37,BR,1607392149
vaini,-21.2,-175.2,84.2,74,20,11.41,TO,1607392185
ribeira grande,38.52,-28.7,59.99,69,82,10.0,PT,1607392175
pavlohrad,48.52,35.87,17.6,78,75,20.13,UA,1607392185
mataura,-46.19,168.86,64.0,64,18,17.0,NZ,1607392173
khani,41.96,42.96,44.6,52,0,29.97,GE,1607392185
saint-philippe,-21.36,55.77,75.2,69,0,3.36,RE,1607392185
mount isa,-20.73,139.5,89.6,13,98,16.11,AU,1607392185
port macquarie,-31.43,152.92,84.0,14,1,4.0,AU,1607392185
airai,-8.93,125.41,73.99,71,100,2.8,TL,1607392186
alberton,46.82,-64.07,33.8,88,100,19.46,CA,1607392186
taraz,42.9,71.37,19.4,92,90,1.68,KZ,1607392186
muros,42.78,-9.06,46.0,91,89,5.01,ES,1607392186
avarua,-21.21,-159.78,84.2,66,0,6.93,CK,1607392124
narsaq,60.92,-46.05,24.8,49,100,4.7,GL,1607392186
new norfolk,-42.78,147.06,61.0,61,100,10.0,AU,1607392166
mbini,1.57,9.61,78.64,84,100,5.19,GQ,1607392186
neyshabur,36.21,58.8,31.37,94,96,2.95,IR,1607392186
castro,-24.79,-50.01,61.7,98,66,4.59,BR,1607392179
beringovskiy,63.05,179.32,12.96,89,2,3.27,RU,1607392187
broome,42.25,-75.83,26.01,79,90,12.75,US,1607392187
lebu,-37.62,-73.65,52.74,89,83,3.44,CL,1607392187
bubaque,11.28,-15.83,80.6,67,1,7.99,GW,1607392187
ushuaia,-54.8,-68.3,44.6,87,90,18.34,AR,1607392187
punta arenas,-53.15,-70.92,55.4,71,100,10.29,CL,1607392187
podhum,43.72,17.0,53.6,71,79,8.05,BA,1607391961
east london,-33.02,27.91,71.38,85,38,20.67,ZA,1607392187
busselton,-33.65,115.33,79.81,35,0,2.68,AU,1607392170
ostrovnoy,68.05,39.51,32.94,94,100,9.28,RU,1607392187
butaritari,3.07,172.79,81.72,76,19,9.04,KI,1607392188
ilulissat,69.22,-51.1,24.8,73,100,14.99,GL,1607392162
dhadar,28.33,75.06,60.93,33,0,5.21,IN,1607392188
bredasdorp,-34.53,20.04,64.4,93,64,5.82,ZA,1607392188
hamilton,39.18,-84.53,32.0,90,90,8.05,US,1607392188
labuhan,-6.88,112.21,83.84,78,100,13.82,ID,1607392188
kaitangata,-46.28,169.85,61.0,71,30,15.99,NZ,1607392188
asau,46.43,26.4,27.0,25,100,2.13,RO,1607392189
svetlyy,54.67,20.13,28.4,68,0,17.9,RU,1607392189
najran,17.49,44.13,55.4,62,81,4.7,SA,1607392189
champerico,14.3,-91.92,66.0,96,5,1.88,GT,1607392189
barrow,71.29,-156.79,1.4,84,90,11.41,US,1607392138
bathsheba,13.22,-59.52,77.0,73,20,11.41,BB,1607392183
chokurdakh,70.63,147.92,-10.55,91,100,7.4,RU,1607392189
batsfjord,70.63,29.72,26.65,93,5,9.24,NO,1607392189
